Model;Fabricante;Codename;Series;precio;L2.Cache.MB.;TDP.Watt;MHz;Cores;Process.nm.;Architecture;Days.old;Graphics.Card;Cinebench.R10.32Bit.Single;SuperPI.1M.;TrueCrypt.AES
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Duo P8800;Intel;Penryn;Core 2 Duo;39;3;25;2660;2;45;x86;4927;newitem;2932;19.45;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core Duo T2300;Intel;Yonah;Core Duo;10;2;31;1660;2;65;x86;6109;newitem;NA;35;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-4302Y;Intel;Haswell;Core i5;55;0.5;11.5;1600;2;22;x86;3313;HD Graphics 4200;3310;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Celeron N3060;Intel;Braswell;Celeron;37;2;6;1600;2;14;x86;2736;HD Graphics 400 (Braswell);1267;27.45;0.45
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-2375M;Intel;Sandy Bridge;Core i3;24;0.5;17;1500;2;32;x86;3523;HD Graphics 3000;1978;26;0.13
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Pentium 2020M;Intel;Ivy Bridge;Pentium;48;0.5;35;2400;2;22;x86;3648;HD Graphics (Ivy Bridge);3299;16.74;0.2
AMD A10-5800K;AMD;Trinity;A-Series (Desktop);78;4;100;3800;4;32;x86;3653;Radeon HD 7660D;3093.5;24.2;1.9
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Duo T6500;Intel;Penryn;Core 2 Duo;48;2;35;2100;2;45;x86;5017;newitem;2249;24.5;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-560UM;Intel;Arrandale;Core i5;41;0.5;18;1333;2;32;x86;4379;newitem;NA;22;NA
Intel Core i7-6500U;Intel;Skylake;Core i7;56;0.5;15;2500;2;14;x86;2583;HD Graphics 520;48869;12.18;1.8
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core Duo T2600;Intel;Yonah;Core Duo;42;2;31;2160;2;65;x86;6109;newitem;NA;28;NA
Intel Core 2 Duo T5750;Intel;Merom;Core 2 Duo;57;2;34;2000;2;65;x86;5262;newitem;NA;28;NA
Intel Core i3-330M;Intel;Arrandale;Core i3;68;0.5;35;2130;2;32;x86;4643;newitem;23301;213;NA
Intel Pentium Dual Core T2410;Intel;Merom;Pentium Dual Core;51;1;35;2000;2;65;x86;5139;newitem;1896;NA;NA
Intel Core m3-7Y30;Intel;Kaby Lake;Kaby Lake;64;0.5;4.5;1000;2;14;x86;2219;HD Graphics 615;4086;14.71;1.5
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-2328M;Intel;Sandy Bridge;Core i3;44;0.5;35;2200;2;32;x86;3647;HD Graphics 3000;NA;17.78;0.2
Intel Core i3-7100U;Intel;Kaby Lake;Kaby Lake;53;0.5;15;2400;2;14;x86;2219;HD Graphics 620;3874;14.93;NA
Intel Atom Z3735F;Intel;Bay Trail-T;Atom;27;2;4;1330;4;22;x86;3063;HD Graphics (Bay Trail);945;27.45;0.62
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Pentium Dual Core T4200;Intel;Penryn;Pentium Dual Core;57;1;35;2000;2;45;x86;5017;newitem;2013;25;NA
Intel Atom x7-E3950;Intel;Apollo Lake;Atom;31;2;12;1600;4;14;x86;2178;HD Graphics 505;1304;38.97;1
Intel Pentium 977;Intel;Sandy Bridge;Pentium;13;0.5;17;1400;2;32;x86;3831;HD Graphics (Sandy Bridge);NA;27;0.11
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD Phenom II X3 N850;AMD;Champlain;Phenom II X3;37;1.5;35;2200;3;45;x86;4376;newitem;1922;34.95;NA
Intel Atom Z3740;Intel;Bay Trail-T;Atom;20;2;4;1330;4;22;x86;3303;HD Graphics (Bay Trail);963;24.5;0.73
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-4260U;Intel;Haswell;Core i5;41;0.5;15;1400;2;22;x86;3088;HD Graphics 5000;3951;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD Turion II Neo K685;AMD;Geneva;Turion II Neo;8;1;15;1800;2;45;x86;4304;newitem;1424;42;NA
