Model;Fabricante;Codename;Series;precio;L2.Cache.MB.;TDP.Watt;MHz;Cores;Process.nm.;Architecture;Days.old;Graphics.Card;Cinebench.R10.32Bit.Single;SuperPI.1M.;TrueCrypt.AES
Intel Core i5-7Y57;Intel;Kaby Lake;Kaby Lake;62;0.5;4.5;1200;2;14;x86;2094;HD Graphics 615;5132;11.58;1.8
Intel Core i7-4790S;Intel;Haswell;Core i7 (Desktop);101;1;65;3200;4;22;x86;3071;HD Graphics 4600;5566;NA;NA
Intel Xeon E3-1505M v6;Intel;Kaby Lake;Kaby Lake;116;1;45;3000;4;14;x86;2093;HD Graphics P630;6332;9.5;4.4
Apple M1 Pro 8-Core;Apple;;Apple M-Series;464;28;37;NA;8;5;ARM;344;M1 Pro 14-Core GPU;NA;NA;NA
Qualcomm Snapdragon 8cx;Qualcomm;Cortex-A76 / A55 (Kryo 495);Snapdragon;130;NA;7;2840;8;7;ARM;1391;Adreno 680;591;10.9;NA
AMD Ryzen 3 1300X;AMD;Zen;Ryzen 3;142;2;65;3500;4;14;x86;1887;newitem;4676;10.97;3
AMD Ryzen Embedded V1605B;AMD;Zen;Raven Ridge (Ryzen 2000 APU);151;2;15;2000;4;14;x86;1679;Vega 8;NA;NA;NA
AMD Ryzen 7 5800X3D;AMD;Vermeer (Zen3);Vermeer (Ryzen 5000);671;4;105;3400;8;7;x86;147;newitem;6008;8.11;13.8
AMD Ryzen 9 3950X;AMD;Matisse (Zen 2);Matisse (Ryzen 3000 Desktop);479;8;105;3500;16;7;x86;1048;newitem;6102;9.19;10.8
Intel Core i5-9400H;Intel;Coffee Lake-H;Coffee Lake;80;1;45;2500;4;14;x86;1246;UHD Graphics 630;NA;NA;NA
Intel Core i5-1140G7;Intel;Tiger Lake UP4;Tiger Lake;133;5;15;1800;4;10;x86;755;Iris Xe G7 80EUs;7771;8.32;3.1
Intel Core i5-6600T;Intel;Skylake;Core i5 (Desktop);80;1;35;2700;4;14;x86;2610;HD Graphics 530;5354.5;16.5;2.85
Intel Core i5-8305G;Intel;Kaby Lake-G;Core i5;81;1;65;2800;4;14;x86;1724;Vega M GL / 870;5844;10.81;4.1
AMD Ryzen 9 5950X;AMD;Vermeer (Zen3);Vermeer (Ryzen 5000);479;8;105;3400;16;7;x86;719;newitem;6689.5;7.24;26
Intel Core i5-7600K;Intel;Kaby Lake;Kaby Lake;149;1;91;3800;4;14;x86;2093;HD Graphics 630;6814;8.82;3.3
Intel Core i7-7920HQ;Intel;Kaby Lake;Kaby Lake;89;1;45;3100;4;14;x86;2093;HD Graphics 630;6169;9.6;4.6
Intel Core i5-8500T;Intel;Coffee Lake-S;Coffee Lake;129;1.5;35;2100;6;14;x86;1579;UHD Graphics 630;5493;10.71;3.4
AMD Ryzen 7 4800U;AMD;Renoir (Zen 2);Renoir (Ryzen 4000 APU);365;4;15;1800;8;7;x86;994;Vega 8;5690;9.73;10.2
Intel Core i7-3740QM;Intel;Ivy Bridge;Core i7;149;1;45;2700;4;22;x86;3649;HD Graphics 4000;4951;10.18;3.5
AMD Ryzen Threadripper 2920X;AMD;ZEN+;Threadripper;641;6;180;3500;12;12;x86;1429;newitem;5407;10.24;16.2
Intel Core i7-5960X;Intel;Haswell-E;Core i7 (Desktop);220;2;140;3000;8;22;x86;2948;newitem;5193;10.4;8.2
Intel Core i7-7700T;Intel;Kaby Lake;Kaby Lake;88;1;35;2900;4;14;x86;2093;HD Graphics 630;6824;14.47;4.4
Intel Core i7-975;Intel;Bloomfield;Core i7 (Desktop);148;1;130;3333;4;45;x86;4866;newitem;4101;12;NA
Intel Core i3-2365M;Intel;Sandy Bridge;Core i3;28;0.5;17;1400;2;32;x86;4110;HD Graphics 3000;1826;27;0.13
Intel Core i7-960;Intel;Bloomfield;Core i7 (Desktop);116;1;130;3200;4;45;x86;4866;newitem;3863;12;NA
Intel Core i5-1035G4;Intel;Ice Lake U;Ice Lake;72;2;15;1100;4;10;x86;1217;Iris Plus Graphics G4 (Ice Lake 48 EU);6829;9.19;4.7
Intel Core i7-4940MX;Intel;Haswell;Core i7;123;1;57;3100;4;22;x86;3173;HD Graphics 4600;5853;9.28;4.1
Intel Core i7-4900MQ;Intel;Haswell;Core i7;117;1;47;2800;4;22;x86;3405;HD Graphics 4600;5470;9.76;3.95
Intel Core i3-9100F;Intel;Coffee Lake-R;Coffee Lake;79;1;65;3600;4;14;x86;1253;newitem;6509;9.31;3
AMD Ryzen 7 PRO 6850U;AMD;Rembrandt U (Zen 3+);Rembrandt (Zen 3+);412;4;28;2700;8;6;x86;160;Radeon 680M;6260;7.7;6.5
Intel Core i7-7660U;Intel;Kaby Lake;Kaby Lake;98;0.5;15;2500;2;14;x86;2093;Iris Plus Graphics 640;6169.5;NA;2.4
AMD Ryzen 7 5800H;AMD;Cezanne H (Zen 3);Cezanne (Zen 3, Ryzen 5000);371;4;45;3200;8;7;x86;628;Vega 8;5981;7.2;8.5
Intel Core i7-8565U;Intel;Whiskey Lake-U;Core i7;132;1;15;1800;4;14;x86;1498;UHD Graphics 620;6644;NA;4
Intel Core i7-12700F;Intel;Alder Lake;Alder Lake-S;676;12;65;3300;12;10;x86;266;newitem;9146;7.39;3.3
Intel Xeon E-2176G;Intel;Coffee Lake-ER;Coffee Lake;366;1.5;80;3700;6;14;x86;1487;UHD Graphics P630;7369;8.31;8
Intel Core i7-10610U;Intel;Comet Lake-U;Comet Lake;85;1;15;1800;4;14;x86;867;UHD Graphics 620;7163;7.78;5
Intel Xeon W-2145;Intel;Skylake-W;Xeon;289;8;140;3700;8;14;x86;1855;newitem;NA;NA;NA
Intel Core i7-4930MX;Intel;Haswell;Core i7;116;1;57;3000;4;22;x86;3405;HD Graphics 4600;5635;9.49;4
Intel Core i7-12800HX;Intel;Alder Lake-HX;Alder Lake-S;700;14;55;1500;16;10;x86;140;UHD Graphics 770;NA;NA;NA
AMD Ryzen 3 3300U;AMD;Zen+;Picasso (Ryzen 3000 APU);87;2;15;2100;4;12;x86;1360;Vega 6;4280;12.82;2.7
Intel Core i7-7700;Intel;Kaby Lake;Kaby Lake;136;1;65;3600;4;14;x86;2093;HD Graphics 630;NA;10.24;NA
AMD Ryzen 5 PRO 4650U;AMD;Renoir PRO (Zen 2);Renoir (Ryzen 4000 APU);79;3;15;2100;6;7;x86;873;Vega 6;5289;7.2;5.4
Intel Core i5-8259U;Intel;Coffee Lake-U;Coffee Lake;152;1;28;2300;4;14;x86;1638;Iris Plus Graphics 655;NA;NA;NA
Intel Xeon E3-1231 v3;Intel;Haswell;Xeon (Desktop);76;1;80;3400;4;22;x86;3101;newitem;5655;NA;NA
AMD Ryzen Threadripper 1950X;AMD;ZEN;Threadripper;599;8;180;3400;16;14;x86;1874;newitem;4754;10.66;19
Intel Core i7-8559U;Intel;Coffee Lake-U;Coffee Lake;105;1;28;2700;4;14;x86;1638;Iris Plus Graphics 655;7249;8.33;5
Intel Core i7-6700T;Intel;Skylake;Core i7 (Desktop);99;1;35;2800;4;14;x86;2583;HD Graphics 530;5605;10;4
Intel Core i7-2920XM;Intel;Sandy Bridge;Core i7;121;1;55;2500;4;32;x86;4282;HD Graphics 3000;4378.5;10;2.95
Intel Core i7-4790K;Intel;Haswell;Core i7 (Desktop);77;1;88;4000;4;22;x86;3405;HD Graphics 4600;6520;7.7;5
Intel Core i7-11800H;Intel;Tiger Lake H45;Tiger Lake;378;10;45;2300;8;10;x86;504;UHD Graphics Xe 32EUs (Tiger Lake-H);8987.5;7.29;10.75
Intel Celeron J4105;Intel;Gemini Lake;Gemini Lake;66;4;10;1500;4;14;x86;1751;UHD Graphics 600;NA;NA;NA
Intel Core i7-8750H;Intel;Coffee Lake-H;Coffee Lake;140;1.5;45;2200;6;14;x86;1669;UHD Graphics 630;64715;9.33;7
Intel Core i5-4460;Intel;Haswell;Core i5 (Desktop);80;1;84;3200;4;22;x86;3040;HD Graphics 4600;4813;10.64;2.8
Intel Core i5-11400F;Intel;Rocket Lake-S;Rocket Lake;416;3;65;2600;6;14;x86;496;newitem;6210;7.76;8.7
Intel Core i9-7900X;Intel;Skylake-X;Core i9;374;10;140;3300;10;14;x86;1946;newitem;7287;8.11;12.1
Intel Core i7-1180G7;Intel;Tiger Lake UP4;Tiger Lake;112;5;9;2200;4;10;x86;755;Iris Xe G7 96EUs;NA;NA;NA
Intel Core i7-980X EE;Intel;Gulftown;Core i7 (Desktop);91;1.5;130;3333;6;32;x86;4583;newitem;NA;11.8;NA
Intel Core i7-4770K;Intel;Haswell;Core i7 (Desktop);108;1;84;3500;4;22;x86;3405;HD Graphics 4600;5845;9.36;4.4
Intel Core i7-4750HQ;Intel;Haswell;Core i7;95;1;47;2000;4;22;x86;3405;Iris Pro Graphics 5200;4723;11.5;3.6
Intel Core i7-4910MQ;Intel;Haswell;Core i7;158;1;47;2900;4;22;x86;3173;HD Graphics 4600;5512;13;4.1
Intel Core i7-4712MQ;Intel;Haswell;Core i7;140;1;37;2300;4;22;x86;3088;HD Graphics 4600;4816.5;11.11;NA
AMD Ryzen 7 PRO 4750U;AMD;Renoir PRO (Zen 2);Renoir (Ryzen 4000 APU);373;4;15;1700;8;7;x86;873;Vega 7;8378.5;10.04;7.05
Intel Core i7-12800H;Intel;Alder Lake-P;Alder Lake-P;457;12;45;1800;14;10;x86;266;Iris Xe G7 96EUs;NA;NA;NA
Intel Xeon E3-1226 v3;Intel;Haswell;Xeon (Desktop);299;1;84;3300;4;22;x86;3101;newitem;5335;9;3
Intel Core i5-1035G7;Intel;Ice Lake U;Ice Lake;150;2;15;1200;4;10;x86;1217;Iris Plus Graphics G7 (Ice Lake 64 EU);6449.5;9.17;4.7
Intel Core i9-9980HK;Intel;Coffee Lake-H;Coffee Lake;416;2;45;2400;8;14;x86;1246;UHD Graphics 630;7969.5;7.75;10.2
Intel Core i7-10875H;Intel;Comet Lake-H;Comet Lake;397;2;45;2300;8;14;x86;908;UHD Graphics 630;7803;7.7;10.3
Intel Core i5-1155G7;Intel;Tiger Lake UP3;Tiger Lake;199;5;28;2500;4;10;x86;485;Iris Xe G7 80EUs;NA;NA;NA
Apple M1 Pro;Apple;;Apple M-Series;486;28;37;2064;10;5;ARM;344;M1 Pro 16-Core GPU;NA;NA;NA
Intel Core i5-11300H;Intel;Tiger Lake H35;Tiger Lake;107;5;35;3100;4;10;x86;624;Iris Xe G7 80EUs;8663;7.98;5.3
Intel Core i5-8500;Intel;Coffee Lake-S;Coffee Lake;160;1.5;65;3000;6;14;x86;1639;UHD Graphics 630;8606;9.22;5
Intel Core i5-8400H;Intel;Coffee Lake-H;Coffee Lake;154;1;45;2500;4;14;x86;1669;UHD Graphics 630;NA;NA;NA
Intel Core i7-8706G;Intel;Kaby Lake-G;Core i7;117;1;65;3100;4;14;x86;1724;Vega M GL / 870;6549;9.48;2.4
Intel Core i5-7300HQ;Intel;Kaby Lake;Kaby Lake;139;1;45;2500;4;14;x86;2093;HD Graphics 630;5434.5;NA;2.3
Intel Core i5-1250P;Intel;Alder Lake-P;Alder Lake-P;261;10;28;1200;12;10;x86;266;Iris Xe G7 80EUs;7918;8.43;9.5
Intel Core i7-3610QM;Intel;Ivy Bridge;Core i7;77;1;45;2300;4;22;x86;3809;HD Graphics 4000;44207;11.33;3.14
Intel Core i7-3940XM;Intel;Ivy Bridge;Core i7;137;1;55;3000;4;22;x86;3649;HD Graphics 4000;5252;9;3.7
Intel Core i3-8145U;Intel;Whiskey Lake-U;Core i3;61;1;15;2100;2;14;x86;1498;UHD Graphics 620;5939;10.52;2.2
Intel Core i5-8265U;Intel;Whiskey Lake-U;Core i5;88;1;15;1600;4;14;x86;1498;UHD Graphics 620;6082;9.78;4.4
AMD Ryzen 7 5700G;AMD;Cezanne;Cezanne (Zen 3, Ryzen 5000);667;4;65;3800;8;7;x86;532;Vega 8;6196;7.8;10.5
Intel Core i7-4700MQ;Intel;Haswell;Core i7;132;1;47;2400;4;22;x86;3405;HD Graphics 4600;49345;NA;3.7
Intel Core i7-4790;Intel;Haswell;Core i7 (Desktop);70;1;84;3600;4;22;x86;3101;HD Graphics 4600;5926;9.08;NA
Apple M1 Max;Apple;;Apple M-Series;479;28;37;NA;10;5;ARM;344;M1 Max 32-Core GPU;NA;NA;NA
Intel Core i7-4960X;Intel;Ivy Bridge-E;Core i7 (Desktop);71;1.5;130;3600;6;22;x86;3311;newitem;NA;9.26;NA
Microsoft SQ1;Microsoft ;Cortex-A76 / A55 (Kryo 495);Snapdragon;117;NA;NA;3000;8;7;ARM;1091;Adreno 685;537;21.2;NA
Intel Core i5-6500T;Intel;Skylake;Core i5 (Desktop);158;1;35;2500;4;14;x86;2610;HD Graphics 530;4880;12;2.5
Intel Core i7-11700;Intel;Rocket Lake;Rocket Lake;669;4;65;2500;8;14;x86;315;newitem;9493;6.87;12
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Pentium 3825U;Intel;Broadwell;Pentium;38;0.5;15;1900;2;14;x86;2738;HD Graphics (Broadwell);2951;20.56;0.21
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Qualcomm Snapdragon 850;Qualcomm;Cortex-A75 / A55 (Kryo 385);Snapdragon;68;1.5;NA;2750;8;10;ARM;1688;Adreno 630;1166;34;NA
Intel Core i5-4210Y;Intel;Haswell;Core i5;63;0.5;11.5;1500;2;22;x86;3313;HD Graphics 4200;2764;19.37;1
Intel Celeron 887;Intel;Sandy Bridge;Celeron;31;0.5;17;1500;2;32;x86;3648;HD Graphics (Sandy Bridge);1877;28;0.1
Intel Pentium 2127U;Intel;Ivy Bridge;Pentium;53;0.5;17;1900;2;22;x86;3375;HD Graphics (Ivy Bridge);2625;20.38;0.15
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-4310M;Intel;Haswell;Core i5;52;0.5;37;2700;2;22;x86;3173;HD Graphics 4600;4664;11.38;2
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i7-2657M;Intel;Sandy Bridge;Core i7;64;0.5;17;1600;2;32;x86;4285;HD Graphics 3000;3491;14;NA
Intel Pentium N4200;Intel;Apollo Lake;Pentium;40;2;6;1100;4;14;x86;2217;HD Graphics 505;1653;31.38;1.4
Intel Core 2 Duo T7200;Intel;Merom;Core 2 Duo;37;4;34;2000;2;65;x86;5905;newitem;NA;25.5;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD A4-3300M;AMD;Llano;A-Series;33;2;35;1900;2;32;x86;4123;Radeon HD 6480G;1741.5;35.05;NA
Intel Pentium P6000;Intel;Arrandale;Pentium;25;0.5;35;1860;2;32;x86;4562;newitem;2050.5;23.35;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-380M;Intel;Arrandale;Core i3;55;0.5;35;2533;2;32;x86;4384;newitem;2808;17.25;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD Phenom II X4 P960;AMD;Champlain;Phenom II X4;41;2;25;1800;4;45;x86;4361;newitem;1542;45;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-2540M;Intel;Sandy Bridge;Core i5;47;0.5;35;2600;2;32;x86;4237;HD Graphics 3000;4171;12;1.5
Intel Core 2 Duo T5450;Intel;Merom-2048;Core 2 Duo;40;2;34;1660;2;65;x86;5628;newitem;1666;33.87;NA
AMD Ryzen Embedded R1505G;AMD;Zen;Raven Ridge (Ryzen 2000 APU);57;2;10;2400;2;14;x86;1259;Vega 3;NA;NA;NA
Intel Pentium N3540;Intel;Bay Trail-M;Pentium;29;2;7.5;2160;4;22;x86;3050;HD Graphics (Bay Trail);1363.5;32.69;0.29
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD Turion II M520;AMD;Caspian;Turion II;39;1;35;2300;2;45;x86;4765;newitem;1955;35.15;NA
Intel Core i5-7Y54;Intel;Kaby Lake;Kaby Lake;66;0.5;4.5;1200;2;14;x86;2219;HD Graphics 615;4392;12;1.4
Intel Core 2 Duo T5670;Intel;Merom-2M;Core 2 Duo;22;2;35;1800;2;65;x86;5323;newitem;NA;NA;NA
Intel Core 2 Duo SL9600;Intel;Penryn;Core 2 Duo;22;6;17;2130;2;45;x86;4958;newitem;2054;21;NA
AMD E2-9000;AMD;Stoney Ridge;Bristol Ridge;16;1;10;1800;2;28;x86;2309;Radeon R2 (Stoney Ridge);1787;26.85;0.71
Intel Core 2 Duo T6570;Intel;Penryn;Core 2 Duo;47;2;35;2100;2;45;x86;5017;newitem;2274;25.06;NA
Intel Core i7-2630QM;Intel;Sandy Bridge;Core i7;73;1;45;2000;4;32;x86;4285;HD Graphics 3000;36626;134;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD A8-4555M;AMD;Trinity;A-Series;42;4;19;1600;4;32;x86;3648;Radeon HD 7600G;1555;41;0.81
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i7-2677M;Intel;Sandy Bridge;Core i7;68;0.5;17;1800;2;32;x86;4110;HD Graphics 3000;3614;13;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Duo SL9400;Intel;Penryn;Core 2 Duo;35;6;17;1860;2;45;x86;5151;newitem;2144;23;NA
AMD A4 Micro-6400T;AMD;Mullins;A-Series;40;2;4.5;1000;4;28;x86;3073;Radeon R3 (Mullins/Beema);1251;40.53;0.72
AMD Phenom II X3 P840;AMD;Champlain;Phenom II X3;24;1.5;25;1900;3;45;x86;4376;newitem;NA;40.4;NA
Intel Core i5-3427U;Intel;Ivy Bridge;Core i5;69;0.5;17;1800;2;22;x86;3801;HD Graphics 4000;3722.5;14;1.3
Intel Core i3-4012Y;Intel;Haswell;Core i3;64;0.5;11.5;1500;2;22;x86;3313;HD Graphics 4200;2173;24.94;0.91
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Atom Z3740D;Intel;Bay Trail-T;Atom;41;2;4;1330;4;22;x86;3303;HD Graphics (Bay Trail);963;45.61;0.7
Intel Core 2 Duo SP7500;Intel;Merom;Core 2 Duo;12;4;20;1600;2;65;x86;5369;newitem;1766;36.9;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-7100H;Intel;Kaby Lake;Kaby Lake;87;0.5;35;3000;2;14;x86;2093;HD Graphics 630;4870;12.6;1.8
Intel Core i5-3360M;Intel;Ivy Bridge;Core i5;67;0.5;35;2800;2;22;x86;3768;HD Graphics 4000;4692;11;1.6
Intel Core i5-430M;Intel;Arrandale;Core i5;49;0.5;35;2260;2;32;x86;4643;newitem;27485;17.73;NA
Intel Core i3-2357M;Intel;Sandy Bridge;Core i3;12;0.5;17;1300;2;32;x86;4110;HD Graphics 3000;1645;29.58;NA
Intel Core i5-460M;Intel;Arrandale;Core i5;80;0.5;35;2530;2;32;x86;4409;newitem;3080;16;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Pentium Gold 4417U;Intel;Kaby Lake Refresh;Kaby Lake Refresh;47;1;15;2300;2;14;x86;1320;HD Graphics 610;3570;17.25;1.4
AMD A10 Pro-7350B;AMD;Kaveri;Kaveri;42;4;19;2100;4;28;x86;3037;Radeon R6 (Kaveri);2003.5;24.44;1.15
Intel Atom Z3795;Intel;Bay Trail-T;Atom;20;2;4;1590;4;22;x86;3063;HD Graphics (Bay Trail);1234;36.63;0.89
Intel Core i5-5257U;Intel;Broadwell;Core i5;51;0.5;28;2700;2;14;x86;2821;Iris Graphics 6100;4825;12.43;1.9
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i7-2617M;Intel;Sandy Bridge;Core i7;59;0.5;17;1500;2;32;x86;4285;HD Graphics 3000;3315;15.27;NA
Intel Core i5-2415M;Intel;Sandy Bridge;Core i5;45;0.5;35;2300;2;32;x86;4237;HD Graphics 3000;3666;13;NA
Intel Pentium B940;Intel;Sandy Bridge;Pentium;33;0.5;35;2000;2;32;x86;4153;HD Graphics (Sandy Bridge);2609.5;19.9;NA
AMD A6-5200;AMD;Kabini;A-Series;20;2;25;2000;4;28;x86;3414;Radeon HD 8400;1598;25.15;1.05
Intel Celeron N2820;Intel;Bay Trail-M;Celeron;39;1;7.5;2170;2;22;x86;3222;HD Graphics (Bay Trail);1061;36.5;0.13
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Extreme X7900;Intel;Merom;Core 2 Extreme;31;4;44;2800;2;65;x86;5505;newitem;3022;19;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Atom Z3770;Intel;Bay Trail-T;Atom;56;2;4;1460;4;22;x86;3303;HD Graphics (Bay Trail);1189;36;0.86
AMD A8-4500M;AMD;Trinity;A-Series;60;4;35;1900;4;32;x86;3787;Radeon HD 7640G;1820.5;40.76;1.1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Celeron M P4500;Intel;Arrandale;Celeron M;44;0.5;35;1860;2;32;x86;4562;newitem;2533;24;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Atom x5-Z8500;Intel;Cherry Trail;Atom x5;20;2;NA;1440;4;14;x86;2766;HD Graphics (Cherry Trail);1166;38.84;0.64
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-450M;Intel;Arrandale;Core i5;32;0.5;35;2400;2;32;x86;4501;newitem;2922.5;16.35;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Pentium N3530;Intel;Bay Trail-M;Pentium;44;2;7.5;2160;4;22;x86;3138;HD Graphics (Bay Trail);1312.5;33;0.28
Intel Core Duo T2500;Intel;Yonah;Core Duo;22;2;31;2000;2;65;x86;6109;newitem;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD A8-7100;AMD;Kaveri;Kaveri;45;4;19;1800;4;28;x86;3037;Radeon R5 (Kaveri);1379;27.17;1.05
Intel Core 2 Duo T7250;Intel;Merom;Core 2 Duo;37;2;35;2000;2;65;x86;5535;newitem;2072.5;29.5;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i7-6600U;Intel;Skylake;Core i7;57;0.5;15;2600;2;14;x86;2583;HD Graphics 520;5298;11.06;1.9
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD A10-5757M;AMD;Richland;A-Series;67;4;35;2500;4;32;x86;3414;Radeon HD 8650G;2182;39;1.1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core Duo T2700;Intel;Yonah;Core Duo;21;2;31;2330;2;65;x86;5905;newitem;NA;25;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Celeron N5105;Intel;Jasper Lake;Jasper Lake;32;1.5;10;2000;4;10;x86;624;UHD Graphics (Jasper Lake 24 EU);NA;NA;NA
Intel Celeron N2840;Intel;Bay Trail-M;Celeron;16;1;7.5;2160;2;22;x86;3050;HD Graphics (Bay Trail);1331;NA;NA
Intel Core i5-6360U;Intel;Skylake;Core i5;56;0.5;15;2000;2;14;x86;2583;Iris Graphics 540;4846;12.3;1.8
Intel Core i3-4005U;Intel;Haswell;Core i3;50;0.5;15;1700;2;22;x86;3313;HD Graphics 4400;2514;21.87;1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-4310U;Intel;Haswell;Core i5;77;0.5;15;2000;2;22;x86;3173;HD Graphics 4400;5897;13;1.6
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-4010U;Intel;Haswell;Core i3;45;0.5;15;1700;2;22;x86;3402;HD Graphics 4400;2469;22.02;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Duo P9700;Intel;Penryn;Core 2 Duo;42;6;28;2800;2;45;x86;4927;newitem;3425;16;NA
Intel Atom x5-Z8550;Intel;Cherry Trail;Atom x5;40;2;NA;1440;4;14;x86;2766;HD Graphics 400 (Braswell);NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i7-3520M;Intel;Ivy Bridge;Core i7;68;0.5;35;2900;2;22;x86;3768;HD Graphics 4000;4855;10;1.7
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMD A9-9425;AMD;Stoney Ridge;Bristol Ridge;49;1;15;3100;2;28;x86;2309;Radeon R5 (Stoney Ridge);2686;17.04;0.95
